Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
18590,27,JAN,1998,Fokker F-27 Friendship 600,XY-AES,Myanma Airways,16,Thandwe Airport ...,Myanmar,A1
18591,30,JAN,1998,Cessna 208 Caravan I,N9316F,PenAir,0,near Port Heiden Airp...,USA,A1
18592,31,JAN,1998,Let L-410,,Atlantic Airlines,0,Puerto Limón Ai...,Costa Rica,H2
18593,1,FEB,1998,Learjet 36A,N27MJ,Medical Jets International,0,Bahrain Internat...,Bahrain,A2
18594,2,FEB,1998,DC-9-32,RP-C1507,Cebu Pacific Air,104,near Cagayan de Oro-L...,Philippines,A1
18595,2,FEB,1998,Shorts 330-200,N2629Y,SkyWay Enterprises,0,Miami Internatio...,USA,O1
18596,2,FEB,1998,Shorts 330-200,N2630A,SkyWay Enterprises,0,Miami Internatio...,USA,O1
18597,2,FEB,1998,Douglas C-117D Super DC-3,N505C,Dragon Air Leasing,0,Opa-locka Airpor...,USA,O1
18598,2,FEB,1998,Boeing 737-291,N737RD,IAL Aircraft Holding,0,Miami Internatio...,USA,O1
18599,3,FEB,1998,Douglas C-47A (DC-3),N200MF,Missionary Flights,0,George Town-Exum...,Bahamas,A1
18600,4,FEB,1998,Antonov An-12BP,LZ-SFG,Air Luxor - lsf Air Sofia,7,near Terceira-Lajes A...,Portugal,A1
18601,5,FEB,1998,CASA C-212-S1 Aviocar 100,D.3B-9,Spanish AF,5,near Navafria,Spain,A1
18602,6,FEB,1998,Gulfstream Aerospace G-1159A Gulfstream III,VP-BLN,private,0,near Chambéry Airpor...,France,A1
18603,9,FEB,1998,Boeing 727-223,N845AA,American Airlines,0,Chicago-O'Hare I...,USA,A1
18604,9,FEB,1998,Shorts 360-100,G-BLGB,British Regional Airlines,0,Stornoway Airpor...,U.K.,A1
18605,9,FEB,1998,Hawker Siddeley C-91 (HS-748-281 Srs. 2A LFD),2509,Brazilian AF,0,Navegantes Airpo...,Brazil,A1
18606,11,FEB,1998,Embraer EMB-145ER (ERJ-145ER),N14931,Continental Express - opb ExpressJet Airlines,0,Beaumont-Jeffers...,USA,A1
18607,11,FEB,1998,Junkers Ju-52/3m,HB-HOS,Ju-Air,0,St. Moritz-Samed...,Switzerland,A2
18608,12,FEB,1998,Antonov An-32B,7744,Sudan AF,26,Nasir Airport,South Sudan,A1
18609,16,FEB,1998,Airbus A300B4-622R,B-1814,China Airlines,196+ 7,Taipei-Chiang Ka...,Taiwan,A1
18610,19,FEB,1998,Grumman G-159 Gulfstream I,5Y-BMR,Skyways Kenya,0,Mogadishu Intern...,Somalia,A1
18611,19,FEB,1998,Swearingen SA226-TC Metro II,EC-GDG,Ibertrans Aérea,2,near Barcelona Airpor...,Spain,A1
18612,22,FEB,1998,Boeing 737-2K3,YU-ANU,Aviogenex - op.for Chanchangi Airlines,0,Kaduna Airport (...,Nigeria,A1
18613,22,FEB,1998,ATR 72-202,D-ANFA,Eurowings,0,Frankfurt Intern...,Germany,A2
18614,23,FEB,1998,Avro RJ100,TC-THE,THY,0,Diyarbakir Airpo...,Turkey,H2
18615,26,FEB,1998,Fokker 100,N867US,US Airways,0,Birmingham Airpo...,USA,A2
18616,4,MAR,1998,Learjet 23,N37BL,Sierra West Airlines,0,Oakdale Airport - ...,USA,A1
18617,4,MAR,1998,Cessna 650 Citation VII,N502T,Tenneco Management Co.,0,Manistee-Blacker...,USA,A2
18618,5,MAR,1998,Cessna 208B Super Cargomaster,N840FE,FedEx - op.for Baron Aviation,1,near Clarksville -  TN,USA,A1
18619,7,MAR,1998,Let L-410UVP,HR-AQG,Aerolíneas SOSA,0,near La Ceiba-Goloson...,Honduras,A1
18620,10,MAR,1998,Boeing 707-336C,SU-PBA,Air Memphis,6,Mombasa-Moi Inte...,Kenya,A1
18621,10,MAR,1998,BAe-146-100,A2-ABD,Air Botswana,0,Hwange Airport (...,Zimbabwe,A2
18622,12,MAR,1998,CASA C-212-A1 Aviocar 200,XT.12B-2,Spanish AF,3,Cistérniga,Spain,A1
18623,12,MAR,1998,Antonov An-8,EL-ALE,Santa Cruz Imperial,,Mogadishu,Somalia,A1
18624,18,MAR,1998,Saab 340B,B-12255,Formosa Airlines,13,near Hsinchu Airport ...,Taiwan,A1
18625,19,MAR,1998,Boeing 727-228,YA-FAZ,Ariana Afghan Airlines,45,near Kabul Airport (KBL),Afghanistan,A1
18626,19,MAR,1998,Aérospatiale SN.601 Corvette,N600RA,R. L. Riemenschneider Enterprises,0,Portland Interna...,USA,A1
18627,22,MAR,1998,Airbus A320-214,RP-C3222,Philippine Air Lines,0+ 3,Bacolod Airport ...,Philippines,A1
18628,25,MAR,1998,Learjet 24B,N100DL,Panther Aviation,0,Orlando Executiv...,USA,A1
18629,28,MAR,1998,Antonov An-32A,OB-1389,Peruvian AF,21+ 1,near Piura Airport (PIU),Peru,A1
